Array Design Name	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
Provider	 Agilent Technologies(cag_sales-na@agilent.com)
Comment[ArrayExpressAccession]	A-GEOD-14767
Comment[SecondaryAccession]	GPL14767
Comment[Description]	Array Manufacturer: Agilent Technologies, Catalogue number: G4470C, Distribution: commercial, Technology: in situ oligonucleotide, Human miRNA Microarray 3.0  Arrays of this design have barcodes that begin with 16021827 or 2521827.  Orientation: Features are numbered numbered Left-to-Right, Top-to-Bottom as scanned by an Agilent scanner (barcode on the left, DNA on the back surface, scanned through the glass), matching the FeatureNum output from Agilent's Feature Extraction software.  The ID column represents the Agilent Feature Extraction feature number.  Rows and columns are numbered as scanned by an Axon Scanner (barcode on the bottom, DNA on the front surface).  To match data scanned on an Axon scanner, use the RefNumber column contained in the Agilent-provided GAL file as the ID_REF column in sample submissions. <br>Reporter Name = Agilent feature number<br>Comment[CONTROL_TYPE] = Control type<br>Reporter Database Entry [mirbase] = miRBase LINK_PRE:http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=<br>Comment[GENE_NAME] = Gene Name<br>Comment[ACCESSION_STRING] = Accession String<br>Reporter Database Entry [chromosome_coordinate] = Chromosomal Location<br>Comment[SPOT_ID] = Spot identifier
Comment[SubmittedName]	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
Comment[Organism]	Homo sapiens
Comment[ArrayExpressReleaseDate]	2011-10-20
Printing Protocol	see manufacturer's web site at http://www.agilent.com/
Surface Type
Substrate Type
Term Source Name	chromosome_coordinate	mirbase
59	hsa-miR-491-5p	chr9:20716129-20716140
60	hsa-miR-148a*	chr7:25989565-25989553
61	hsa-miR-638	chr19:10829107-10829119
62	hsa-miR-766	chrX:118780786-118780774
63	hsa-miR-139-5p	chr11:72326134-72326120
64	hsa-miR-620	chr12:116586444-116586426
65	hsa-miR-326	chr11:75046214-75046200
66	hsa-miR-605	chr10:53059356-53059370
67	hsa-miR-146b-5p	chr10:104186270-104186288,chr10:104196280-104196298
68	hsa-miR-518f*	chr19:054203290-054203305,chr19:054214277-054214292,chr19:058906089-058906104
69	hsa-miR-450b-3p	chrX:133674283-133674263
70	kshv-miR-K12-3	KSU75698:000121571-000121560
71	hsa-miR-874	chr5:136983328-136983317
72	hsa-miR-518a-3p	chr19:054234314-054234331,chr19:054242643-054242660,chr19:058926126-058926143,chr19:058934455-058934472
73	hsa-miR-9	chr1:156390170-156390152,chr5:087962708-087962690,chr15:089911267-089911285
74	hsa-miR-29c*	chr1:207975233-207975215
75	hsa-miR-224	chrX:151127077-151127059
76	hsa-miR-29a	chr7:130561568-130561551
77	hsa-miR-188-3p	chrX:49768169-49768182
78	hsa-miR-24	chr9:097848350-097848367,chr19:013947171-013947154
79	hsa-miR-933	chr2:176032428-176032417
80		
81		
82		
83		
84		
85	hsa-miR-200c*	chr12:7072874-7072887
86	hsa-miR-770-5p	chr14:101318756-101318768
87	hsa-miR-24-2*	chr19:13947134-13947122
88	hsa-miR-650	chr22:23165291-23165305
89	hsa-miR-371-3p	chr19:054290975-054290992,chr19:058982787-058982804
90	hsa-miR-551a	chr1:3477339-3477324
91	hsa-miR-1303	chr5:154065396-154065408
92	hsa-miR-33b*	chr17:17717224-17717212
93	hsa-miR-328	chr16:67236292-67236276
94	hsa-miR-516a-5p	chr19:054260015-054260032,chr19:054264407-054264424
95	hsa-miR-642a	chr19:046178207-046178222,chr19:046178207-046178222
96	hsa-miR-548d-3p	chr8:124360355-124360338,chr8:124429536-124429519,chr17:062898148-062898131,chr17:065467686-065467669
97	hsa-miR-221	chrX:45605671-45605655
98	hsa-miR-194*	chr11:64658898-64658884
99	hsa-miR-296-5p	chr20:056826098-056826084,chr20:057392703-057392689
100	hsa-miR-513a-3p	chrX:146295074-146295059,chrX:146307436-146307421
101	hsa-miR-1305	chr4:183090500-183090517
102	hsa-miR-34b	chr11:111383719-111383733
103	hsa-miR-331-5p	chr12:95702231-95702242
104	hsa-miR-154	chr14:101526111-101526127
105	hsa-miR-30c	chr1:041222977-041222994,chr6:072086691-072086674
106	hsa-miR-34c-3p	chr11:111384221-111384230
107	hsa-miR-520b	chr19:54204525-54204541
108	ebv-miR-BART15	HHV507799:000139555-000139574
109	hsa-miR-551b	chr3:168269705-168269722
110	hsa-miR-542-3p	chrX:133675444-133675426
111	hsa-miR-362-3p	chrX:49773616-49773634
112	hsa-miR-135a	chr3:052328273-052328252,chr12:097957613-097957634
113	hsa-miR-1914*	chr20:62572888-62572878
114	hsa-miR-877	chr6:30552118-30552128
115	hsa-miR-182*	chr7:129410309-129410293
116	hsa-miR-873	chr9:28888907-28888892
117	hsa-miR-483-3p	chr11:2155431-2155415
118		
119	hsa-miR-23a	chr19:13947465-13947450
120	hsa-miR-107	chr10:91352575-91352558
121	ebv-miR-BART2-3p	HHV507799:000152789-000152806
122	hsa-miR-629*	chr15:068158846-068158833,chr15:070371792-070371779
123	kshv-miR-K12-4-5p	KSU75698:000121440-000121425
124	hsa-miR-92a	chr13:092003622-092003636,chrX:133303636-133303622
125	hsa-miR-147b	chr15:45725301-45725317
126	hsa-miR-124*	chr8:065291736-065291751,chr8:009760932-009760917,chr20:061809872-061809887
127	hsa-miR-518a-3p	chr19:054234314-054234331,chr19:054242643-054242660,chr19:058926126-058926143,chr19:058934455-058934472
128	hsa-miR-654-3p	chr14:101506610-101506627
129	hsa-miR-181b	chr1:198828059-198828047,chr9:127456014-127456026
130	hsa-miR-499-5p	chr20:33578212-33578231
131	hsa-miR-373*	chr19:54291974-54291985
132	hsa-miR-204	chr9:73424944-73424927
133	hcmv-miR-UL22A*	HEHCMVCG:000027687-000027706
134	hsa-miR-200c*	chr12:7072873-7072887
135	hsa-miR-889	chr14:101514289-101514306
136	hsa-miR-202	chr10:135061097-135061084
137	hsa-miR-302e	chr11:7256004-7256018
138	hsa-miR-520e	chr19:54179023-54179038
139	hsa-miR-410	chr14:101532302-101532318
140	hcmv-miR-UL22A	HEHCMVCG:000027655-000027667
141	hsa-miR-653	chr7:93112104-93112089
142	hsa-miR-372	chr19:54291192-54291207
143	hsa-miR-130a*	chr11:57408697-57408712
144	hsa-miR-1539	chr18:47013781-47013792
145	hsa-miR-570	chr3:195426337-195426352
146	hsa-miR-571	chr4:344010-344026
147	hsa-miR-369-3p	chr14:101531979-101531998
148	hsa-miR-145	chr5:148810230-148810246
149	hsa-miR-141	chr12:7073325-7073339
150	hcmv-miR-US5-1	HEHCMVCG:000196108-000196122
151	hsa-miR-589	chr7:5535494-5535480
152	hsa-miR-375	chr2:219866427-219866414
153	hsa-miR-211	chr15:31357281-31357263
154		
155	hsa-miR-362-5p	chrX:049660323-049660339,chrX:049773583-049773599
156	bkv-miR-B1-3p	unmapped
157		
158	hsa-miR-550a	chr7:030329439-030329453,chr7:030329439-030329453,chr7:032772622-032772636,chr7:032772622-032772636
159	hsa-miR-320a	chr8:022102543-022102532,chr8:022158488-022158477
160	hsa-miR-323b-5p	chr14:101522579-101522592,chr14:101522579-101522592
161		
162		
163		
164		
165		
166		
167	kshv-miR-K12-5_v14.0	KSU75698:000121329-000121317
168	hsa-miR-301a	chr17:054583351-054583332,chr17:057228569-057228550
169	hsa-miR-627	chr15:42491804-42491786
170	hsa-miR-337-3p	chr14:101340891-101340911
171		
172	hsa-miR-298	chr20:57393314-57393302
173	hsa-miR-155	chr21:26946302-26946317
174	ebv-miR-BART3	HHV507799:000139130-000139145,HHV507799:000139130-000139145
175	hsa-miR-1180	chr17:19247880-19247870
176	hsa-miR-323-3p	chr14:100561873-100561892,chr14:101492120-101492139
177	hsa-miR-548p	chr5:100152253-100152235
178	hsa-miR-632	chr17:30677191-30677206
179	hsa-miR-16	chr3:160122546-160122563,chr13:050623143-050623126
180	hsa-miR-1205	chr8:128972892-128972905
181	hsa-miR-338-5p	chr17:79099709-79099699
182		
183	hsa-miR-99a*	chr21:17911467-17911479
184	hsa-miR-633	chr17:61021638-61021658
185	hsa-miR-372	chr19:54291191-54291207
186	hsa-miR-30c-2*	chr6:72086730-72086713
187	hsa-miR-512-5p	chr19:054169952-054169968,chr19:054172436-054172452
188	hsa-miR-22*	chr17:1617232-1617216
189	hsa-miR-512-3p	chr19:054169986-054170004,chr19:054172470-054172488
190	hsa-miR-185*	chr22:20020718-20020732
191	hsa-miR-526b*	chr19:054197702-054197718,chr19:058889514-058889530
192	hsa-miR-922	chr3:197401445-197401431
193	hsa-miR-569	chr3:170824533-170824515
194	ebv-miR-BART18-5p	HHV507799:000145964-000145983
195	hsa-miR-1304	chr11:93466880-93466866
196	hsa-miR-1262	chr1:68649235-68649217
197	hsa-miR-1256	chr1:21314862-21314845
198	hsa-miR-517a	chr19:54215579-54215596
199	hsa-miR-1914	chr20:62572851-62572840
200		
201	ebv-miR-BHRF1-1	HHV507799:000041483-000041495
202	hsa-miR-10b*	chr2:177015100-177015117
203	hsa-miR-30a	chr6:072113280-072113266,chr6:072170001-072169987
204	hsa-miR-30c-1*	chr1:41223016-41223032
205	hsa-miR-588	chr6:126805796-126805812
206	hsa-miR-518e*	chr19:054189743-054189759,chr19:054198484-054198500,chr19:054201659-054201675,chr19:054233112-054233128,chr19:054254485-054254501,chr19:054255670-054255686
207		
208	hsa-miR-489	chr7:092951256-092951239,chr7:093113320-093113303
209	hsa-miR-563	chr3:15915334-15915347
210	hsa-miR-96	chr7:129414562-129414542
211	hsa-miR-629	chr15:70371752-70371739
212	hsa-miR-193a-3p	chr17:29887076-29887090
213	hsa-miR-708*	chr11:79113143-79113127
214	hsa-miR-509-3-5p	chrX:146341200-146341185
215	hsa-miR-1285	chr2:070480122-070480106,chr7:091833400-091833384
216	hsa-miR-29b-2*	chr1:207975819-207975807
217	hsa-miR-365	chr16:014403198-014403218,chr17:029902498-029902518
218	hsa-miR-1279	chr12:69666967-69666953
219	hsa-miR-188-5p	chrX:49768132-49768143
220	hsa-miR-219-5p	chr6:033175632-033175652,chr6:033283610-033283630,chr9:130194756-130194736,chr9:131154935-131154915
221	hsa-miR-148b	chr12:54731066-54731083
222		
223	hsa-miR-1911*	chrX:113997799-113997811
224	hsa-miR-188-5p	chrX:49768132-49768143
225	hsa-miR-338-5p	chr17:79099709-79099698
226	hsa-miR-220a_v15.0	chrX:122523669-122523654,chrX:122695988-122695973
227	hsa-miR-26a	chr3:038010911-038010925,chr12:058218426-058218412
228	hsa-miR-369-3p	chr14:101531980-101531998
229	hsa-miR-567	chr3:111831670-111831685
230	kshv-miR-K12-7_v14.0	KSU75698:000120421-000120409
231	hsa-miR-217	chr2:56210158-56210144
232	hsa-miR-637	chr19:3961495-3961481
233	hsa-miR-432	chr14:101350840-101350855
234	hcmv-miR-US5-2	HEHCMVCG:000196238-000196250
235	hsa-miR-516a-5p	chr19:054260015-054260032,chr19:054264407-054264424
236	hsa-miR-506	chrX:146312328-146312314
237	ebv-miR-BHRF1-2*	HHV507799:000042860-000042874
238	ebv-miR-BART20-5p	HHV507799:000148345-000148359,HHV507799:000148345-000148359
239	hsa-miR-1182	chr1:231155657-231155645
240	hsa-miR-1283	chr19:054191755-054191769,chr19:054261506-054261520
241	hsa-miR-18b	chrX:133304098-133304081
242	hsa-miR-505*	chrX:139006342-139006324
243		
244	hcmv-miR-US5-2	HEHCMVCG:000196236-000196250
245		
246		
247		
248	ebv-miR-BART2-3p	HHV507799:000152787-000152806
249	hsa-miR-100	chr11:122022970-122022953
250	hsa-miR-517*	chr19:054215541-054215557,chr19:054224340-054224356,chr19:054244591-054244607
251	hsa-miR-517c	chr19:054244626-054244644,chr19:054255706-054255724,chr19:054265654-054265672
252	hsa-miR-571	chr4:344011-344026
253	hsa-miR-1272	chr15:65054630-65054615
254	hsa-miR-500a*	chrX:049659834-049659851,chrX:049773094-049773111,chrX:049773094-049773111
255	hsa-miR-215	chr1:220291241-220291223
256	hsa-miR-1914	chr20:62572851-62572839
257	hsa-miR-924	chr18:37202109-37202094
258	hsa-miR-146b-5p	chr10:104186271-104186288,chr10:104196281-104196298
259	hsa-miR-559	chr2:47604831-47604849
260	hsa-miR-548e	chr10:112748740-112748757
261		
262	hsa-miR-494	chr14:101496027-101496039
263	hsa-miR-15a*	chr13:50623326-50623312
264	hsa-miR-888*	chrX:145076368-145076352
265	hsa-miR-136	chr14:101351054-101351075
266	hsa-miR-520e	chr19:54179023-54179038
267	hsa-miR-1909*	chr19:1816193-1816183
268	hcmv-miR-UL70-5p	HEHCMVCG:000103096-000103110
269	hcmv-miR-UL36	HEHCMVCG:000049519-000049506
270	hsa-miR-1228	chr12:57588348-57588357
271	hsa-miR-124	chr8:065291773-065291786,chr8:009760969-009760956,chr20:061809910-061809923
272	hsa-miR-500a*	chrX:049659835-049659851,chrX:049773095-049773111,chrX:049773095-049773111
273	hsa-miR-522	chr19:54254520-54254539
274	hsa-miR-135b*	chr1:205417505-205417493
275	hsa-miR-592	chr7:126698178-126698161
276	hsa-miR-1537	chr1:236016360-236016345
277		
278	hsa-miR-571	chr4:344010-344026
279	ebv-miR-BART9	HHV507799:000147004-000147019
280	hsa-miR-375	chr2:219866427-219866414
281	hsa-miR-218-2*	chr5:168195238-168195226
282	hsa-miR-593*	chr7:127509174-127509188,chr7:127721938-127721952
283	hsa-miR-942	chr1:117637283-117637298
284	jcv-miR-J1-5p	unmapped
285	hsa-miR-122*	chr18:56118357-56118377
286	hsa-let-7d	chr9:96941127-96941144
287	hsa-miR-1270	chr19:020510115-020510099,chr19:020579274-020579258
288	hsa-miR-324-3p	chr17:007067411-007067396,chr17:007126687-007126672
289	jcv-miR-J1-3p	unmapped
290	hsa-miR-503	chrX:133680385-133680369
291	ebv-miR-BART8*	HHV507799:000146816-000146829
292		
293	hsa-miR-661	chr8:145019432-145019419
294	hsa-miR-19b-1*	chr13:92003469-92003483
295		
296	hsa-miR-548k	chr11:70130099-70130113
297		
298	hsa-miR-379	chr14:101488414-101488428
299	hsa-miR-339-5p	chr7:1062605-1062593
300	hsa-miR-516b	chr19:054228715-054228732,chr19:054240118-054240135,chr19:058920527-058920544,chr19:058931930-058931947
301	hsa-miR-517c	chr19:054244627-054244644,chr19:054255707-054255724,chr19:054265655-054265672
302	hsa-miR-517c	chr19:054244627-054244644,chr19:054255707-054255724,chr19:054265655-054265672
303	hsa-miR-374b*	chrX:73438443-73438423
304	hsa-miR-1468	chrX:63005914-63005903
305	hsv1-miR-H4*	unmapped
306	hsa-miR-205	chr1:209605519-209605532
307	hsa-miR-765	chr1:156906011-156905995
308	hsa-miR-369-5p	chr14:101531947-101531964
309	hsa-miR-130b*	chr22:22007611-22007625
310	hsa-miR-93*	chr7:99691461-99691450
311	hsa-miR-490-5p	chr7:136587961-136587971
312	hsa-miR-548b-3p	chr6:119390293-119390275,chr6:119431992-119431974
313	hsa-miR-23a*	chr19:13947430-13947419
314	hsa-miR-455-5p	chr9:116011554-116011571,chr9:116971733-116971750
315	hsa-miR-631	chr15:75645987-75645975
316	hsa-miR-15b	chr3:160122399-160122416
317	hsa-miR-502-5p	chrX:049665963-049665981,chrX:049779223-049779241
318	hsa-miR-220a_v15.0	chrX:122523669-122523651,chrX:122695988-122695970
319	hsa-miR-374b	chrX:73438413-73438396
320	hsa-miR-1914	chr20:62572851-62572839
321	hsa-miR-150*	chr19:50004113-50004103
322	hsa-miR-300	chr14:101507759-101507772
323	hsa-miR-610	chr11:28078381-28078397
324	hsa-miR-19a*	chr13:92003162-92003179
325		
326	hsa-miR-195	chr17:6920968-6920951
327	hsa-miR-511	chr10:017887125-017887142,chr10:018134054-018134071
328		
329		
330	hsa-miR-1226*	chr3:47891062-47891070
331	hsa-miR-1229	chr5:179225346-179225338
332	hsa-miR-379*	chr14:101488451-101488467
333	hsa-miR-302d*	chr4:113569186-113569174
334		
335		
336	hsa-miR-378*	chr5:149092589-149092606,chr5:149112396-149112413
337	kshv-miR-K12-7_v14.0	KSU75698:000120421-000120410
338	hsa-miR-302a*	chr4:113569366-113569351
339	hsa-miR-499-3p	chr20:33578253-33578269
340	hsa-miR-1200	chr7:36958991-36958978
341	hsa-miR-374a*	chrX:73507183-73507165
342	hsa-miR-518f	chr19:54203323-54203341
343	hsa-miR-618	chr12:81329552-81329536
344	hsa-miR-33a	chr22:42296955-42296973
345	ebv-miR-BART19-3p	HHV507799:000148259-000148274
346	hsa-miR-487a	chr14:101518839-101518852
347	hsa-miR-518f*	chr19:054203290-054203305,chr19:054214277-054214292,chr19:058906089-058906104
348		
349	hsa-miR-561	chr2:189162282-189162300
350	hsa-miR-29a*	chr7:130561530-130561512
351	hsa-miR-551a	chr1:3477339-3477324
352	hsa-miR-136*	chr14:101351089-101351108
353	hsa-miR-98	chrX:53583226-53583207
354	hsa-miR-592	chr7:126698178-126698161
355	hsa-miR-600	chr9:125873907-125873894
356	hsa-miR-130b	chr22:22007649-22007664
357	hsa-miR-199a-3p	chr1:172113765-172113746,chr9:131007085-131007066,chr19:010928169-010928150
358	ebv-miR-BART10*	HHV507799:000147324-000147342
359	hsa-miR-10b	chr2:177015060-177015079
360	hsa-miR-642a	chr19:046178208-046178222,chr19:046178208-046178222
361	hsa-miR-545	chrX:73507022-73507003
362	hsa-miR-637	chr19:3961495-3961480
363	hsa-miR-504	chrX:137749905-137749892
364	hsa-miR-130a*	chr11:57408699-57408712
365	hsa-miR-373*	chr19:54291975-54291985
366	hsa-miR-921	chr1:166124005-166123993
367	hsa-miR-19b-1*	chr13:92003471-92003483
368	hsa-miR-500a*	chrX:049659834-049659851,chrX:049773094-049773111,chrX:049773094-049773111
369	hsa-miR-369-5p	chr14:101531947-101531964
370	hsa-miR-744	chr17:11985236-11985247
371	hsa-miR-516a-5p	chr19:054260014-054260032,chr19:054264406-054264424
372	hsa-miR-145	chr5:148810231-148810246
373	hsa-miR-205	chr1:209605518-209605532
374	hsa-miR-302d*	chr4:113569186-113569176
375	hsa-miR-1282	chr15:44085884-44085868
376	hsa-miR-302c*	chr4:113569547-113569536
377	hsa-miR-363*	chrX:133303435-133303420
378	hsa-miR-1827	chr12:100583712-100583727
379	hsv1-miR-H4*	unmapped
380	hsa-miR-135b	chr1:205417467-205417446
381	hsa-miR-328	chr16:67236292-67236276
382	hsa-miR-302e	chr11:7256003-7256018
383	hsa-miR-520g	chr19:54225480-54225497
384	hsa-miR-222*	chrX:45606472-45606459
385	hsa-miR-1273	chr8:101036309-101036293
386	hsa-miR-142-3p	chr17:56408666-56408646
387	hsa-miR-33a	chr22:42296954-42296973
388	hsa-miR-148b	chr12:54731067-54731083
389	hsa-miR-218-2*	chr5:168195238-168195228
390	hsa-miR-19a*	chr13:92003160-92003179
391	hsa-miR-194	chr1:220291534-220291520,chr11:064658862-064658848
392	hsa-miR-548b-5p	chr6:119390257-119390241
393	hsa-miR-17	chr13:092002879-092002894,chrX:133304262-133304247
394	hsa-miR-584	chr5:148441912-148441898
395	hsa-miR-1302	chr1:000030440-000030458,chr2:114340628-114340610,chr2:208134095-208134077,chr7:018166918-018166900,chr8:142867661-142867643,chr9:000030218-000030236,chr9:100125921-100125903,chr12:113132933-113132915,chr15:102500754-102500736,chr19:000072047-000072065,chr20:049231269-049231251
396	hsa-miR-342-3p	chr14:100576060-100576074
397	hsa-miR-1322	chr8:10682951-10682938
398	hsa-miR-205	chr1:209605519-209605532
399	hsa-miR-1470	chr19:15560370-15560379
400	hsa-miR-193a-3p	chr17:29887076-29887090
401	hsa-miR-661	chr8:145019432-145019421
402	hsa-miR-629*	chr15:068158846-068158833,chr15:070371792-070371779
403	hsa-miR-135a	chr3:052328273-052328252,chr12:097957613-097957634
404	ebv-miR-BART17-5p	HHV507799:000139922-000139936
405	hsa-miR-520f	chr19:054185468-054185488,chr19:058902574-058902594
406	hsa-miR-1304	chr11:93466880-93466865
407	hsa-miR-455-3p	chr9:116971772-116971787
408	hsa-miR-23a*	chr19:13947430-13947417
409		
410	hsa-miR-370	chr14:101377532-101377544
411	hsa-miR-125b-1*	chr11:121970540-121970527
412	hsa-miR-371-5p	chr19:54290943-54290953
413	hsa-miR-140-5p	chr16:068524509-068524528,chr16:069967008-069967027
414	hsa-miR-146b-3p	chr10:104196321-104196334
415	hsa-miR-500a	chrX:049773060-049773073,chrX:049773060-049773073
416	hsa-miR-632	chr17:30677193-30677206
417	hsa-miR-556-3p	chr1:162312394-162312411
418	hsa-miR-493*	chr14:100405168-100405186,chr14:101335415-101335433
419	hsa-miR-149	chr2:241395439-241395454
420	hsa-miR-548p	chr5:100152253-100152235
421	hsa-miR-193a-3p	chr17:29887075-29887090
422	hsa-miR-221*	chrX:45605630-45605611
423	hsa-miR-633	chr17:61021637-61021658
424	hsa-miR-944	chr3:189547770-189547785
425	hsa-miR-126	chr9:139565110-139565126
426	hsa-let-7g	chr3:52302319-52302301
427	hsa-miR-1306	chr22:20073640-20073652
428		
429	hsa-let-7a	chr9:096938246-096938265,chr11:122017255-122017236,chr22:046508634-046508653
430	hsa-miR-875-3p	chr8:100549078-100549064
431	hsa-miR-518a-5p	chr19:054223371-054223384,chr19:054234279-054234292,chr19:054242608-054242621,chr19:054257291-054257304
432	hsa-miR-548e	chr10:112748741-112748757
433	hsa-miR-1247	chr14:102026684-102026672
434	hsa-miR-886-5p_v15.0	chr5:135416209-135416197
435	hsa-miR-1908	chr11:61582664-61582653
436		
437	hsa-miR-373	chr19:54292009-54292024
438	hsa-miR-769-5p	chr19:46522224-46522240
439		
440	hsa-miR-572	chr4:11370520-11370530
441	hsa-let-7g	chr3:52302319-52302301
442	hsa-miR-638	chr19:10829108-10829119
443		
444	hsa-miR-507	chrX:146312577-146312560
445	hsa-miR-136	chr14:101351055-101351075
446	hsa-miR-512-5p	chr19:054169951-054169968,chr19:054172435-054172452
447	hsa-miR-361-5p	chrX:085045323-085045309,chrX:085158667-085158653
448	hsa-miR-651	chrX:8095027-8095042
449	hsa-miR-588	chr6:126805798-126805812
450	kshv-miR-K12-6-3p	KSU75698:000120818-000120807
451	hsa-miR-101	chr1:065524183-065524164,chr9:004850346-004850365
452	hsa-miR-1247	chr14:102026684-102026673
453	hsv1-miR-H1_v14.0	unmapped
454	hsa-miR-17	chr13:092002878-092002894,chrX:133304262-133304246
455	hsa-miR-1234	chr8:145625557-145625549
456	hsa-miR-15b	chr3:160122398-160122416
457	hsa-miR-182	chr7:129410268-129410254
458	hsa-miR-1298	chrX:113949675-113949688
459	hsa-miR-1207-3p	chr8:129061454-129061466
460	hsa-miR-548d-5p	chr8:124360319-124360299,chr17:065467650-065467630
461	hsa-miR-569	chr3:170824533-170824515
462	ebv-miR-BART6-5p	HHV507799:000140040-000140054
463	hsa-miR-9	chr1:156390170-156390152,chr5:087962708-087962690,chr15:089911267-089911285
464		
465	hsa-miR-615-5p	chr12:54427761-54427772
466	hsa-miR-122*	chr18:56118358-56118377
467	hsa-miR-1243	chr4:114028027-114028044
468	hsa-miR-15b	chr3:160122398-160122416
469	hsa-miR-1291	chr12:49048263-49048248
470	hsa-miR-585	chr5:168690683-168690668
471	hsa-miR-1184	chrX:154687245-154687260,chrX:154115717-154115702,chrX:154612831-154612816
472	hsa-miR-558	chr2:32757284-32757298
